"","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","BPP","BCE","MFM","AVG","X0.5","AUC","BPP","BCE","MFM","AVG","X0.5","AR0.05","AR0.1","AR0.15","AR0.2","AR0.25","AR0.3","AR0.35","AR0.4","AR0.45","AR0.5","AR0.55","AR0.6","AR0.65","AR0.7","AR0.75","AR0.8","AR0.85","AR0.9","AR0.95","AR1","CE0.05","CE0.1","CE0.15","CE0.2","CE0.25","CE0.3","CE0.35","CE0.4","CE0.45","CE0.5","CE0.55","CE0.6","CE0.65","CE0.7","CE0.75","CE0.8","CE0.85","CE0.9","CE0.95","CE1"
"1.3_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.3_all_bug2.csv-->1.4_all_bug2.csv","16","15","16","18.5617283950617","0","0.213333333333333","0.217391304347826","0.213333333333333","0.213496706010405","0","0.421052631578947","0.394736842105263","0.421052631578947","0.488466536712151","0","0.283185840707965","0.280373831775701","0.283185840707965","0.270986581684673","0","0.5","0.524691358024691","0.5","0.491464715744551","0.765432098765432","0.480687606112054","0.169237816728053","0.217832333707726","0.169237816728053","0.214411284808797","0","0.158905621410182","0.204253160996546","0.232657806142203","0.248956012221088","0.268102567510321","0.292928568436924","0.313667178120018","0.33519290771539","0.355865481757908","0.380543479800054","0.406800989371853","0.430699612817523","0.454190865993097","0.476146876249558","0.49490083520221","0.511604809477846","0.530450810749692","0.54910766623011","0.571636534277805","0.594526882606665","0.0966571571935551","0.117345821981062","0.12481271207034","0.120200886592703","0.120003495521363","0.126066542997316","0.126362433207478","0.127185373250965","0.126574281406925","0.13131396373475","0.138524215724953","0.1425968061466","0.146255065888187","0.147637306763978","0.143648178189568","0.135632209838552","0.130803431495584","0.125106210104734","0.126693862394338","0.129199412811472"
"1.3_all_bug2.csv-->1.5_all_bug2.csv","9","7","9","15.5095057034221","0","0.107142857142857","0.111111111111111","0.107142857142857","0.101177390637637","0","0.28125","0.21875","0.28125","0.484672053231939","0","0.155172413793103","0.147368421052632","0.155172413793103","0.161415384530854","0","0.627376425855513","0.692015209125475","0.627376425855513","0.494311035290376","0.878326996197719","0.480384199134199","0.167586308374257","0.140043039231915","0.167586308374257","0.0264076692237727","0","0.0407500942314545","0.109405151203378","0.13594110516482","0.16551606223095","0.200698102492804","0.235249651838655","0.266914577693028","0.300994279119139","0.332302105443454","0.362304562895242","0.394233606903202","0.425438198644018","0.457277486478481","0.487099411437662","0.512486970761762","0.534607506968539","0.556855046783084","0.579734824642666","0.603610981080894","0.625095052160817","-0.0378507335616581","-0.0017348224532923","-0.00266583432178103","0.00565405269426229","0.0238844361742276","0.0413893812677763","0.0543816979750586","0.070411952406614","0.0830861590333298","0.0943818771307524","0.10904475528989","0.123494935768375","0.13992304867091","0.154239759704004","0.162054790787455","0.16462293830745","0.16760531808795","0.172070408576542","0.179011026641091","0.181439882305203"
"1.3_all_bug2.csv-->1.6_all_bug2.csv","19","15","19","39.2389937106918","0","0.208791208791209","0.1875","0.208791208791209","0.199275127645722","0","0.208791208791209","0.164835164835165","0.208791208791209","0.431197733084526","0","0.208791208791209","0.175438596491228","0.208791208791209","0.262560519864776","0","0.547169811320755","0.556603773584906","0.547169811320755","0.458971164115344","0.713836477987421","0.401413564409159","0.0844197977103552","-0.00262207828038814","0.0844197977103552","-0.113397368737983","0","0","0.0752882970902845","0.166058610432347","0.235350146391315","0.301521173081517","0.342122829096386","0.376767261452869","0.410219875704322","0.440299127872722","0.463025908429807","0.484496565827789","0.505781396419803","0.528564492910031","0.549266029728145","0.569115503636464","0.588105795399009","0.606740818394214","0.626711147496807","0.649111602341469","0.670461724400245","-0.222279731786653","-0.190851894906622","-0.116558635601257","-0.057977125376741","0.00451275666501816","0.0358671212639933","0.061607842923485","0.0878252254805156","0.110386774866057","0.121987759777299","0.130888378726138","0.137797576852995","0.146255397302195","0.150239381648706","0.151948194828516","0.151297100907931","0.149202012861342","0.149416925745297","0.155072967147394","0.15835553246149"
"1.3_all_bug2.csv-->1.7_all_bug2.csv","33","27","33","70.2511078286558","0","0.172774869109948","0.159763313609467","0.172774869109948","0.183361971860646","0","0.2","0.163636363636364","0.2","0.425764289870641","0","0.185393258426966","0.161676646706587","0.185393258426966","0.23792129641841","0","0.571639586410635","0.586410635155096","0.571639586410635","0.46300801389395","0.756277695716396","0.400846354166667","-0.0728393952928383","-0.21493889663377","-0.0728393952928383","-0.104021320511247","0","0.0700503485898273","0.104208630826113","0.150123268570397","0.197898139117245","0.244289044891301","0.287229497392984","0.322274275935068","0.354068697242427","0.381091489833095","0.403421312459277","0.423977053417695","0.44551776739168","0.467936735009222","0.489546662143846","0.511781391744725","0.535583150895221","0.558047990927001","0.579873997219567","0.601826088435129","0.623185218016845","-0.076982651203779","-0.090635978133146","-0.0764617484706147","-0.0514841243866684","-0.0230681878816438","0.00484057398476551","0.0245684343157342","0.0417316027568401","0.0532636726885231","0.0585909539721596","0.060887468425034","0.0634095339176379","0.0664428011545432","0.0673288272090606","0.068770159738099","0.0729018534360757","0.074171655040643","0.0737738864568187","0.0732901390383773","0.0709952963631515"
"1.4_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.4_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.4_all_bug2.csv-->1.5_all_bug2.csv","17","7","23","14.6882129277567","0","0.115646258503401","0.0654205607476635","0.132947976878613","0.0855055561417142","0","0.53125","0.21875","0.71875","0.459006653992395","0","0.189944134078212","0.100719424460432","0.224390243902439","0.14108582581359","0","0.448669201520913","0.524714828897338","0.395437262357414","0.488065462851856","0.878326996197719","0.45116341991342","0.28607943756877","0.368068200629035","0.364376758814766","0.106773132566544","0","0.120065809459448","0.214173887405468","0.237423699786497","0.247188514627842","0.257006481680929","0.283095823506148","0.313776979442876","0.351555004615917","0.394594844597928","0.433007407152252","0.470177458019857","0.50567785382522","0.541199889538362","0.573390882615582","0.600859741349214","0.626045771780731","0.648400113000082","0.668036661993319","0.685422651121893","0.702124792295122","0.0479641023192879","0.116108315197758","0.115095965265841","0.10297248912155","0.0926487985143502","0.101364310780939","0.114830239745333","0.137651239146967","0.168629449177143","0.19478996125984","0.220742223533321","0.245902071001768","0.272918682302556","0.296532237089341","0.313951325438649","0.328754139667225","0.339561752932004","0.346026540101136","0.348456888635176","0.349625107690339"
"1.4_all_bug2.csv-->1.6_all_bug2.csv","36","15","47","37.4213836477987","0","0.22360248447205","0.128205128205128","0.259668508287293","0.181836316578801","0","0.395604395604396","0.164835164835165","0.516483516483517","0.411223996129656","0","0.285714285714286","0.144230769230769","0.345588235294118","0.243339605629732","0","0.433962264150943","0.440251572327044","0.440251572327044","0.447539654285827","0.713836477987421","0.373432734666215","0.0111776918155111","-0.332950254084466","0.0452790380381356","-0.165006764470887","0","0.181823287888875","0.18837994947703","0.203659543836028","0.207997399686507","0.238395527507535","0.271297995979996","0.299235636398766","0.329173317181113","0.355487337042168","0.379703254819665","0.40268287202244","0.423783475247051","0.446290433637268","0.467930642815362","0.486712103961983","0.503674606396655","0.521107078858292","0.539794366086209","0.559403405370346","0.582772609233481","-4.08122332724388e-05","-0.0452114665232625","-0.0662149934415688","-0.0958226571496667","-0.0854552888567371","-0.0679281664562225","-0.0551303583554988","-0.0375242449425075","-0.0244168220684797","-0.0142540271283136","-0.00704519717670768","-0.00525411285680391","-0.00273854352279174","-0.00310075518447218","-0.0102352961905034","-0.0226723166746835","-0.0360626081217559","-0.0486333043668322","-0.0609412447648807","-0.0656034553347929"
"1.4_all_bug2.csv-->1.7_all_bug2.csv","93","52","105","64.6041358936484","0","0.204845814977974","0.147727272727273","0.212550607287449","0.154337503007389","0","0.563636363636364","0.315151515151515","0.636363636363636","0.391540217537263","0","0.30048465266559","0.201160541586073","0.31866464339909","0.209792849139842","0","0.360413589364845","0.389955686853767","0.336779911373708","0.446343129062311","0.756277695716396","0.355598958333333","0.0654885816374087","0.00819492965591448","0.00548853554184052","0.0536716478957199","0","0.175307517812352","0.219926046444592","0.236060381384973","0.251087265902455","0.271786671260363","0.297305561298083","0.323181110540666","0.347145481776758","0.371151089480519","0.392089458853177","0.41137669573438","0.43074612794029","0.451102569856387","0.473105122033692","0.495867595609531","0.517287767623668","0.53786253138837","0.558276380149576","0.579882252265088","0.603045107532033","0.0449165774217494","0.0502512653848264","0.0323869954681497","0.0182420851287752","0.0141576146428104","0.0189086224458287","0.0258736158482425","0.0314606984675858","0.0380579710909394","0.0407091393585294","0.0403446170109756","0.0384583707153533","0.0369056068036883","0.037287784551902","0.038416130656953","0.0363794577598024","0.0318859085947923","0.0261589404926509","0.0222180602922289","0.0213415718630514"
"1.5_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.5_all_bug2.csv-->1.4_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.5_all_bug2.csv-->1.5_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.5_all_bug2.csv-->1.6_all_bug2.csv","36","36","74","37.1100628930818","0","0.206896551724138","0.210526315789474","0.271062271062271","0.190413914923435","0","0.395604395604396","0.395604395604396","0.813186813186813","0.407802888934964","0","0.271698113207547","0.274809160305344","0.406593406593407","0.246027713145551","0","0.393081761006289","0.40251572327044","0.320754716981132","0.445344329733792","0.713836477987421","0.368543350922206","-0.0158787376313465","0.0397006385075752","0.0787966267043351","-0.00165559352361559","0","0.183036131046123","0.194931375935592","0.218032663661104","0.265674150923975","0.294485052951829","0.319949206353863","0.337199238316257","0.352410608449805","0.371926811831485","0.39106924868792","0.410231450602818","0.43122509061641","0.454220457032513","0.481716139210311","0.509227122606147","0.537920177130368","0.567134418671842","0.595579929232439","0.6209323381587","0.643387083184366","0.00144162137566901","-0.0367744816900757","-0.0469709179441991","-0.0160205317882285","-0.00551527505439416","0.0033712091511121","0.00203086583948889","-0.00158462939717985","0.00171280344246062","0.00433063439500675","0.00568130847468517","0.00772835837578448","0.0116223066277373","0.0228887923390623","0.0340779765445244","0.0478902570107614","0.0635154053064747","0.0784807401104111","0.0872182810625966","0.0892065938489347"
"1.5_all_bug2.csv-->1.7_all_bug2.csv","78","78","131","62.3870014771049","0","0.175675675675676","0.177272727272727","0.216887417218543","0.162603489248294","0","0.472727272727273","0.472727272727273","0.793939393939394","0.378103039255181","0","0.25615763546798","0.257851239669421","0.340702210663199","0.209468227919113","0","0.330871491875923","0.336779911373708","0.251107828655835","0.439620883688355","0.756277695716396","0.337778172348485","-0.0123849280280282","0.00125288676239743","0.00681021134478119","0.0193153244300795","0","0.206006771592595","0.214901857835442","0.22889355561384","0.246736907104692","0.26323610901002","0.278754381766939","0.294168711673715","0.313261975589278","0.334587516580857","0.352810903263837","0.371434630881929","0.390064100752753","0.410612940141524","0.432451285162362","0.455343008369636","0.480317460680011","0.505830378971741","0.53019378066246","0.553753028256026","0.578291965798219","0.0804696459949654","0.0441342597441943","0.0233094274923787","0.0125391520795996","0.00258201398796847","-0.00699225463395375","-0.0158831135279251","-0.018807020450259","-0.0178728525312416","-0.0212729399865166","-0.0247744791334996","-0.0302587072431497","-0.0341374209451869","-0.0369925833118506","-0.0388806054034539","-0.0374229960302217","-0.0352170212449819","-0.0357530497412296","-0.0385950890507499","-0.0396851877016271"
"1.6_all_bug2.csv-->1.3_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.6_all_bug2.csv-->1.4_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.6_all_bug2.csv-->1.5_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.6_all_bug2.csv-->1.6_all_bug2.csv","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n","n"
"1.6_all_bug2.csv-->1.7_all_bug2.csv","152","105","163","55.5155096011817","0","0.243589743589744","0.193014705882353","0.248854961832061","0.122751848628423","0","0.921212121212121","0.636363636363636","0.987878787878788","0.336457633946556","0","0.385297845373891","0.296191819464034","0.397560975609756","0.173251490431896","0","0.283604135893648","0.262924667651403","0.270310192023634","0.419486875148638","0.756277695716396","0.282765151515152","0.01862294192838","-0.0440656228299869","0.0258069470532574","-0.285173021733141","0","0.086708881476221","0.152151443513165","0.18426635591699","0.206355790700326","0.230214213769043","0.249674269477878","0.272369153077556","0.290782802844807","0.312263435851096","0.334853566831337","0.355797284430962","0.377522744396639","0.401994129019724","0.427486502295696","0.453199894807692","0.477731789966313","0.5034701849655","0.531012719800005","0.557509451768917","0.58302035279765","-0.0576902616793052","-0.0322650692265128","-0.033215797447255","-0.0403968961892222","-0.0421224464889142","-0.0475934688371126","-0.0472586048478322","-0.0521558932254819","-0.0520217095165801","-0.0496098539815652","-0.0502686510233755","-0.0514426408376014","-0.0492599706449582","-0.0460639508894497","-0.042968387528522","-0.0425846746620693","-0.0401613013154915","-0.0339475846912765","-0.0298523899179437","-0.0280277528739165"
